method,estimate,flow,cq,runid
beale,NA,unaltered,chemostatic,6
rating,13.478060652151225,unaltered,chemostatic,6
composite,13.592154246187722,unaltered,chemostatic,6
truth,13.545553543028761,unaltered,chemostatic,6
pw,14.306737774384688,base,dilution,7
beale,NA,base,dilution,7
rating,12.01101551710729,base,dilution,7
composite,12.373380741706852,base,dilution,7
truth,12.394860487502438,base,dilution,7
pw,23.940634745320796,storm,dilution,7
beale,NA,storm,dilution,7
rating,12.153845314462906,storm,dilution,7
composite,13.721230689738087,storm,dilution,7
truth,17.207437813122418,storm,dilution,7
pw,14.925873856214322,unaltered,dilution,7
beale,NA,unaltered,dilution,7
rating,11.840106667820569,unaltered,dilution,7
composite,12.350362132291249,unaltered,dilution,7
truth,13.346357558125225,unaltered,dilution,7
pw,5.800843249718966,base,enrich,7
beale,NA,base,enrich,7
rating,20.03044809063681,base,enrich,7
composite,19.828085453847798,base,enrich,7
truth,14.313229497489875,base,enrich,7
pw,0.9452361521627148,storm,enrich,7
beale,NA,storm,enrich,7
rating,127.0155800806979,storm,enrich,7
composite,126.9089436067571,storm,enrich,7
truth,76.47762827204686,storm,enrich,7
pw,3.7105282440399288,unaltered,enrich,7
beale,NA,unaltered,enrich,7
rating,21.498089055814965,unaltered,enrich,7
composite,21.303678043608024,unaltered,enrich,7
truth,13.925565750261477,unaltered,enrich,7
pw,12.117377377395712,base,none,7
beale,NA,base,none,7
rating,13.077307969410665,base,none,7
composite,12.583135867264216,base,none,7
truth,15.817024298337966,base,none,7
pw,5.038881079355157,storm,none,7
beale,NA,storm,none,7
rating,10.08536732960134,storm,none,7
composite,9.18800756220892,storm,none,7
truth,13.76714369638041,storm,none,7
pw,9.502263321281546,unaltered,none,7
beale,NA,unaltered,none,7
rating,10.853353566849611,unaltered,none,7
composite,10.362920539818347,unaltered,none,7
truth,13.538872930282364,unaltered,none,7
pw,13.052906148350806,base,chemostatic,7
beale,NA,base,chemostatic,7
rating,16.020647526034804,base,chemostatic,7
composite,15.957790706244461,base,chemostatic,7
truth,15.818854121755944,base,chemostatic,7
pw,5.427910658639512,storm,chemostatic,7
beale,NA,storm,chemostatic,7
rating,14.091157456432718,storm,chemostatic,7
composite,14.08357073106643,storm,chemostatic,7
truth,13.733214861291195,storm,chemostatic,7
pw,10.235890776248272,unaltered,chemostatic,7
beale,NA,unaltered,chemostatic,7
rating,13.783016873101179,unaltered,chemostatic,7
composite,13.727437952463315,unaltered,chemostatic,7
truth,13.535632383806371,unaltered,chemostatic,7
pw,13.572054332861724,base,dilution,8
beale,NA,base,dilution,8
rating,11.917674739083298,base,dilution,8
composite,11.49979281256752,base,dilution,8
truth,12.509979385294846,base,dilution,8
pw,24.59062687773823,storm,dilution,8
beale,NA,storm,dilution,8
rating,13.65460555980474,storm,dilution,8
composite,10.670301916864272,storm,dilution,8
truth,17.954602384399948,storm,dilution,8
pw,14.243786801284452,unaltered,dilution,8
beale,NA,unaltered,dilution,8
rating,11.79906842190275,unaltered,dilution,8
composite,11.443978206119045,unaltered,dilution,8
truth,13.766227542738767,unaltered,dilution,8
pw,5.436315678989327,base,enrich,8
beale,NA,base,enrich,8
rating,11.557811696172344,base,enrich,8
composite,11.889605736945109,base,enrich,8
truth,14.425672471957073,base,enrich,8
pw,0.8927216015892276,storm,enrich,8
beale,NA,storm,enrich,8
rating,34.96624177836471,storm,enrich,8
composite,35.30395330237955,storm,enrich,8
truth,76.83504634602136,storm,enrich,8
pw,3.416696991087647,unaltered,enrich,8
beale,NA,unaltered,enrich,8
rating,13.124089629541013,unaltered,enrich,8
composite,13.194601909369934,unaltered,enrich,8
truth,13.953034776117759,unaltered,enrich,8
pw,13.905540357564744,base,none,8
beale,NA,base,none,8
rating,15.335176839494897,base,none,8
composite,15.286951755077936,base,none,8
truth,15.900526365939925,base,none,8
pw,5.83665418546804,storm,none,8
beale,NA,storm,none,8
rating,13.197200292580218,storm,none,8
composite,12.499820297019625,storm,none,8
truth,13.772020194697623,storm,none,8
pw,11.021975651954746,unaltered,none,8
beale,NA,unaltered,none,8
rating,13.197835031446932,unaltered,none,8
composite,13.030690403292015,unaltered,none,8
truth,13.55807729341468,unaltered,none,8
pw,12.983011246065152,base,chemostatic,8
beale,NA,base,chemostatic,8
rating,15.95032194788423,base,chemostatic,8
composite,15.773273379664504,base,chemostatic,8
truth,15.896381394405761,base,chemostatic,8
pw,5.449435619242313,storm,chemostatic,8
beale,NA,storm,chemostatic,8
rating,13.895080292394903,storm,chemostatic,8
composite,13.768875716105462,storm,chemostatic,8
truth,13.801208841826515,storm,chemostatic,8
pw,10.290749597899504,unaltered,chemostatic,8
beale,NA,unaltered,chemostatic,8
rating,13.521917319201712,unaltered,chemostatic,8
composite,13.372924274006815,unaltered,chemostatic,8
truth,13.55531991174954,unaltered,chemostatic,8
pw,14.094802791108004,base,dilution,9
beale,NA,base,dilution,9
rating,13.22517473388674,base,dilution,9
composite,13.460397805224636,base,dilution,9
truth,12.4495586043775,base,dilution,9
pw,24.770777827643357,storm,dilution,9
beale,NA,storm,dilution,9
rating,14.724867534906837,storm,dilution,9
composite,13.07361199779634,storm,dilution,9
truth,18.19674376779593,storm,dilution,9
pw,14.559335963304845,unaltered,dilution,9
beale,NA,unaltered,dilution,9
rating,12.544014247780115,unaltered,dilution,9
composite,12.588794447441906,unaltered,dilution,9
truth,13.563471329956077,unaltered,dilution,9
pw,5.205060254104404,base,enrich,9
beale,NA,base,enrich,9
rating,11.74095179783921,base,enrich,9
composite,12.04771245492439,base,enrich,9
truth,13.835754330042777,base,enrich,9
pw,0.8710320797022589,storm,enrich,9
beale,NA,storm,enrich,9
rating,33.39900230461224,storm,enrich,9
composite,33.88855222439424,storm,enrich,9
truth,75.37406585968047,storm,enrich,9
pw,3.2958742042847096,unaltered,enrich,9
beale,NA,unaltered,enrich,9
rating,12.981472417192709,unaltered,enrich,9
composite,13.13241982796703,unaltered,enrich,9
truth,13.828667879146467,unaltered,enrich,9
pw,12.254866422877917,base,none,9
beale,NA,base,none,9
rating,15.540126784139204,base,none,9
composite,15.272170685744282,base,none,9
truth,15.770318281614067,base,none,9
pw,5.12997260666688,storm,none,9
beale,NA,storm,none,9
rating,14.454503024348655,storm,none,9
composite,13.76207300301183,storm,none,9
truth,13.666601475682985,storm,none,9
pw,9.669786959159216,unaltered,none,9
beale,NA,unaltered,none,9
rating,13.543233132646893,unaltered,none,9
composite,13.243291597847579,unaltered,none,9
truth,13.500768289055292,unaltered,none,9
pw,13.147119434986061,base,chemostatic,9
beale,NA,base,chemostatic,9
rating,16.617764336126783,base,chemostatic,9
composite,16.75036368491406,base,chemostatic,9
truth,15.807180772213192,base,chemostatic,9
pw,5.503475944229647,storm,chemostatic,9
beale,NA,storm,chemostatic,9
rating,14.800703532455056,storm,chemostatic,9
composite,15.051166754425367,storm,chemostatic,9
truth,13.726916410031409,storm,chemostatic,9
pw,10.373825358520874,unaltered,chemostatic,9
beale,NA,unaltered,chemostatic,9
rating,14.346254719740086,unaltered,chemostatic,9
composite,14.482367271767727,unaltered,chemostatic,9
truth,13.53540051249743,unaltered,chemostatic,9
pw,13.737125074265053,base,dilution,10
beale,NA,base,dilution,10
rating,12.156873656636336,base,dilution,10
composite,13.160442315636097,base,dilution,10
truth,12.305073500603854,base,dilution,10
pw,24.251092266166708,storm,dilution,10
beale,NA,storm,dilution,10
rating,14.389896991031339,storm,dilution,10
composite,12.78399025402704,storm,dilution,10
truth,17.11233902032835,storm,dilution,10
pw,14.327517701669382,unaltered,dilution,10
beale,NA,unaltered,dilution,10
rating,12.332010271853772,unaltered,dilution,10
composite,12.409669339537873,unaltered,dilution,10
truth,13.522851385591201,unaltered,dilution,10
pw,4.884034594049743,base,enrich,10
beale,NA,base,enrich,10
rating,13.93877331207499,base,enrich,10
composite,13.798491283372094,base,enrich,10
truth,13.892474998268456,base,enrich,10
pw,0.8232170735364917,storm,enrich,10
beale,NA,storm,enrich,10
rating,42.10544892359218,storm,enrich,10
composite,42.41086545673395,storm,enrich,10
truth,75.77018707955159,storm,enrich,10
pw,3.1695687482500228,unaltered,enrich,10
beale,NA,unaltered,enrich,10
rating,15.277480720084927,unaltered,enrich,10
composite,15.324846714936584,unaltered,enrich,10
truth,13.783515801090697,unaltered,enrich,10
pw,15.673394718352727,base,none,10
beale,NA,base,none,10
rating,19.54474462494362,base,none,10
composite,20.742594038248626,base,none,10
truth,15.720118764467799,base,none,10
pw,6.642589057688092,storm,none,10
beale,NA,storm,none,10
rating,18.76157472365593,storm,none,10
composite,20.305840198758247,storm,none,10
truth,13.75277724740788,storm,none,10
pw,12.650113638116654,unaltered,none,10
beale,NA,unaltered,none,10
rating,17.23688271187681,unaltered,none,10
composite,18.332130508089055,unaltered,none,10
truth,13.560840796884042,unaltered,none,10
pw,12.73116040503109,base,chemostatic,10
beale,NA,base,chemostatic,10
rating,15.915597319273012,base,chemostatic,10
composite,15.826735420687607,base,chemostatic,10
truth,15.682140096097395,base,chemostatic,10
pw,5.3956317899087205,storm,chemostatic,10
beale,NA,storm,chemostatic,10
rating,14.71674743275129,storm,chemostatic,10
composite,14.483149432326272,storm,chemostatic,10
truth,13.728340441322876,storm,chemostatic,10
pw,10.275414405288515,unaltered,chemostatic,10
beale,NA,unaltered,chemostatic,10
rating,13.87026265579066,unaltered,chemostatic,10
composite,13.7652580678766,unaltered,chemostatic,10
truth,13.529380227520994,unaltered,chemostatic,10
pw,13.3008386408679,base,dilution,11
beale,NA,base,dilution,11
rating,12.013361479586013,base,dilution,11
composite,11.746792763048935,base,dilution,11
truth,12.264019289225399,base,dilution,11
