method,estimate,flow,cq,runid
pw,10.707547690172689,unaltered,none,7
beale,NA,unaltered,none,7
rating,12.61375110642972,unaltered,none,7
composite,12.735355010633851,unaltered,none,7
truth,13.498434494580227,unaltered,none,7
pw,13.506806463245564,base,chemostatic,7
beale,NA,base,chemostatic,7
rating,15.473090337067548,base,chemostatic,7
composite,15.463000211139944,base,chemostatic,7
truth,15.55378479809912,base,chemostatic,7
pw,7.053490028216862,storm,chemostatic,7
beale,NA,storm,chemostatic,7
rating,13.977248167943044,storm,chemostatic,7
composite,13.947501119759405,storm,chemostatic,7
truth,13.717829779522853,storm,chemostatic,7
pw,11.097052278822442,unaltered,chemostatic,7
beale,NA,unaltered,chemostatic,7
rating,13.48834579135015,unaltered,chemostatic,7
composite,13.47482413002665,unaltered,chemostatic,7
truth,13.513010854848984,unaltered,chemostatic,7
pw,15.51046913053294,base,dilution,8
beale,NA,base,dilution,8
rating,12.25806576649189,base,dilution,8
composite,12.34360226146571,base,dilution,8
truth,12.712206758543442,base,dilution,8
pw,34.782216315462755,storm,dilution,8
beale,NA,storm,dilution,8
rating,12.850997285028537,storm,dilution,8
composite,12.739651271034269,storm,dilution,8
truth,18.703457072175826,storm,dilution,8
pw,16.45483081425322,unaltered,dilution,8
beale,NA,unaltered,dilution,8
rating,12.261285096284906,unaltered,dilution,8
composite,12.4915789053129,unaltered,dilution,8
truth,14.139282110982084,unaltered,dilution,8
pw,6.943498821963635,base,enrich,8
beale,NA,base,enrich,8
rating,16.65396851984756,base,enrich,8
composite,16.68275128940013,base,enrich,8
truth,14.86437501585476,base,enrich,8
pw,1.6974899045810175,storm,enrich,8
beale,NA,storm,enrich,8
rating,71.164728949282,storm,enrich,8
composite,71.54426711459732,storm,enrich,8
truth,78.1010501428146,storm,enrich,8
pw,4.201920459260737,unaltered,enrich,8
beale,NA,unaltered,enrich,8
rating,15.132742563115713,unaltered,enrich,8
composite,15.24117825167455,unaltered,enrich,8
truth,14.202167098620784,unaltered,enrich,8
pw,15.641618818456568,base,none,8
beale,NA,base,none,8
rating,17.062517306975913,base,none,8
composite,17.344407108687044,base,none,8
truth,16.172168671701364,base,none,8
pw,7.9383442131803,storm,none,8
beale,NA,storm,none,8
rating,14.002490675240283,storm,none,8
composite,13.896936075948117,storm,none,8
truth,13.73684066348891,storm,none,8
pw,12.438349043436714,unaltered,none,8
beale,NA,unaltered,none,8
rating,14.212857169408466,unaltered,none,8
composite,14.405222473261368,unaltered,none,8
truth,13.564555169383446,unaltered,none,8
pw,14.288102239146063,base,chemostatic,8
beale,NA,base,chemostatic,8
rating,16.115594210077138,base,chemostatic,8
composite,16.15973116781895,base,chemostatic,8
truth,16.169846992289262,base,chemostatic,8
pw,7.251415281493589,storm,chemostatic,8
beale,NA,storm,chemostatic,8
rating,13.67445630462316,storm,chemostatic,8
composite,13.791015873518514,storm,chemostatic,8
truth,13.831821139988998,storm,chemostatic,8
pw,11.362021084998219,unaltered,chemostatic,8
beale,NA,unaltered,chemostatic,8
rating,13.50580502683858,unaltered,chemostatic,8
composite,13.556328390408861,unaltered,chemostatic,8
truth,13.573917115340116,unaltered,chemostatic,8
pw,13.765594485338625,base,dilution,9
beale,NA,base,dilution,9
rating,11.583514817929,base,dilution,9
composite,11.949555690829097,base,dilution,9
truth,12.405384631970376,base,dilution,9
pw,34.845606315367235,storm,dilution,9
beale,NA,storm,dilution,9
rating,12.418051744222474,storm,dilution,9
composite,12.675326665747535,storm,dilution,9
truth,17.3623100617163,storm,dilution,9
pw,16.439643279783,unaltered,dilution,9
beale,NA,unaltered,dilution,9
rating,11.962913867375008,unaltered,dilution,9
composite,12.163860259558234,unaltered,dilution,9
truth,13.643861387223634,unaltered,dilution,9
pw,4.759801553788445,base,enrich,9
beale,NA,base,enrich,9
rating,14.645117815712734,base,enrich,9
composite,14.907006946265136,base,enrich,9
truth,14.71787856392682,base,enrich,9
pw,1.5317557249008185,storm,enrich,9
beale,NA,storm,enrich,9
rating,54.65619965496652,storm,enrich,9
composite,54.80201934592032,storm,enrich,9
truth,75.26358318628397,storm,enrich,9
pw,3.9170534300962783,unaltered,enrich,9
beale,NA,unaltered,enrich,9
rating,12.00765969080074,unaltered,enrich,9
composite,12.071494900784264,unaltered,enrich,9
truth,13.863764474921517,unaltered,enrich,9
pw,13.997511414606764,base,none,9
beale,NA,base,none,9
rating,14.925098412939507,base,none,9
composite,15.647929119788758,base,none,9
truth,15.94633730109545,base,none,9
pw,7.200645786965842,storm,none,9
beale,NA,storm,none,9
rating,11.996596515454161,storm,none,9
composite,12.769255494070938,storm,none,9
truth,13.776800703747153,storm,none,9
pw,11.401447469391961,unaltered,none,9
beale,NA,unaltered,none,9
rating,12.55017562231162,unaltered,none,9
composite,13.189294118288448,unaltered,none,9
truth,13.564133399549469,unaltered,none,9
pw,13.858114107881836,base,chemostatic,9
beale,NA,base,chemostatic,9
rating,15.773266469120756,base,chemostatic,9
composite,15.768963111658469,base,chemostatic,9
truth,15.934722668583841,base,chemostatic,9
pw,7.128936566687171,storm,chemostatic,9
beale,NA,storm,chemostatic,9
rating,13.434890065574033,storm,chemostatic,9
composite,13.365605380704826,storm,chemostatic,9
truth,13.747061029891674,storm,chemostatic,9
pw,11.287903638426373,unaltered,chemostatic,9
beale,NA,unaltered,chemostatic,9
rating,13.393711070210232,unaltered,chemostatic,9
composite,13.378772914136237,unaltered,chemostatic,9
truth,13.551842280097746,unaltered,chemostatic,9
pw,15.046893318295927,base,dilution,10
beale,NA,base,dilution,10
rating,11.887004824394483,base,dilution,10
composite,11.963802023225595,base,dilution,10
truth,12.360172835452078,base,dilution,10
pw,34.39308172448766,storm,dilution,10
beale,NA,storm,dilution,10
rating,12.486984159854577,storm,dilution,10
composite,11.61651464484991,storm,dilution,10
truth,17.333158466898634,storm,dilution,10
pw,16.09362340327761,unaltered,dilution,10
beale,NA,unaltered,dilution,10
rating,11.929933684977115,unaltered,dilution,10
composite,11.935286868276775,unaltered,dilution,10
truth,13.40517852772811,unaltered,dilution,10
pw,6.069922144433418,base,enrich,10
beale,NA,base,enrich,10
rating,14.259858204839297,base,enrich,10
composite,14.314365275590184,base,enrich,10
truth,14.326405240326189,base,enrich,10
pw,1.4957192399513564,storm,enrich,10
beale,NA,storm,enrich,10
rating,63.21826176625612,storm,enrich,10
composite,63.46448193811217,storm,enrich,10
truth,75.65159828566314,storm,enrich,10
pw,3.8135605020321197,unaltered,enrich,10
beale,NA,unaltered,enrich,10
rating,13.490670171072447,unaltered,enrich,10
composite,13.537814936176332,unaltered,enrich,10
truth,13.76944011577425,unaltered,enrich,10
pw,14.41366989473649,base,none,10
beale,NA,base,none,10
rating,15.617502515056286,base,none,10
composite,16.030862151186902,base,none,10
truth,15.77606544933825,base,none,10
pw,7.444274048569124,storm,none,10
beale,NA,storm,none,10
rating,13.262896753497438,storm,none,10
composite,13.650674810935683,storm,none,10
truth,13.717134788946634,storm,none,10
pw,11.71222123538002,unaltered,none,10
beale,NA,unaltered,none,10
rating,13.300749810541149,unaltered,none,10
composite,13.658790034550806,unaltered,none,10
truth,13.522758506989927,unaltered,none,10
pw,13.861832533951564,base,chemostatic,10
beale,NA,base,chemostatic,10
rating,15.714016000967828,base,chemostatic,10
composite,15.726714621924412,base,chemostatic,10
truth,15.788728549116044,base,chemostatic,10
pw,7.159264847309265,storm,chemostatic,10
beale,NA,storm,chemostatic,10
rating,13.669870758445924,storm,chemostatic,10
composite,13.692530598688883,storm,chemostatic,10
truth,13.746855014245982,storm,chemostatic,10
pw,11.26381071240686,unaltered,chemostatic,10
beale,NA,unaltered,chemostatic,10
rating,13.469976195583783,unaltered,chemostatic,10
composite,13.483015711733412,unaltered,chemostatic,10
truth,13.53494199329244,unaltered,chemostatic,10
pw,14.779099152723457,base,dilution,11
beale,NA,base,dilution,11
rating,11.979564316618086,base,dilution,11
composite,11.997707819937535,base,dilution,11
truth,12.39382262882835,base,dilution,11
pw,34.29111496242921,storm,dilution,11
beale,NA,storm,dilution,11
rating,12.686500138889091,storm,dilution,11
composite,12.422452283651186,storm,dilution,11
truth,17.16714399866671,storm,dilution,11
pw,16.18256615370887,unaltered,dilution,11
beale,NA,unaltered,dilution,11
rating,12.124728039298306,unaltered,dilution,11
composite,12.224743243037379,unaltered,dilution,11
truth,13.66202761203476,unaltered,dilution,11
pw,5.547883981915388,base,enrich,11
beale,NA,base,enrich,11
rating,14.625525178916702,base,enrich,11
composite,14.655369726553635,base,enrich,11
truth,14.07294611572842,base,enrich,11
pw,1.5436880183484312,storm,enrich,11
beale,NA,storm,enrich,11
rating,58.50953812769664,storm,enrich,11
composite,58.592841138432256,storm,enrich,11
truth,75.213463125682,storm,enrich,11
pw,3.9792019720103076,unaltered,enrich,11
beale,NA,unaltered,enrich,11
rating,12.686542002740849,unaltered,enrich,11
composite,12.656247443004702,unaltered,enrich,11
truth,13.806462167890297,unaltered,enrich,11
pw,14.348380174557231,base,none,11
beale,NA,base,none,11
rating,15.67946413915534,base,none,11
composite,16.167145978878587,base,none,11
truth,15.839088156927392,base,none,11
pw,7.463424027901866,storm,none,11
beale,NA,storm,none,11
rating,13.434518427480944,storm,none,11
composite,13.768209185547914,storm,none,11
truth,13.781671634681866,storm,none,11
pw,11.78104368828699,unaltered,none,11
beale,NA,unaltered,none,11
rating,13.453691552965841,unaltered,none,11
composite,13.854225100918734,unaltered,none,11
truth,13.588551785431793,unaltered,none,11
pw,13.794195958813539,base,chemostatic,11
beale,NA,base,chemostatic,11
rating,15.840318114512478,base,chemostatic,11
composite,15.872869178316376,base,chemostatic,11
truth,15.769398487592204,base,chemostatic,11
pw,7.17516070191336,storm,chemostatic,11
beale,NA,storm,chemostatic,11
rating,13.74120404375402,storm,chemostatic,11
composite,13.76108263384807,storm,chemostatic,11
truth,13.691525586628105,storm,chemostatic,11
pw,11.326018913531401,unaltered,chemostatic,11
beale,NA,unaltered,chemostatic,11
rating,13.579045803575376,unaltered,chemostatic,11
composite,13.611053877064935,unaltered,chemostatic,11
truth,13.525817885996823,unaltered,chemostatic,11
pw,13.804703947156678,base,dilution,12
beale,NA,base,dilution,12
rating,11.789868338811091,base,dilution,12
composite,11.926956469066837,base,dilution,12
truth,12.318984054556399,base,dilution,12
